,Symptom,weight
0,gatal,1
1,ruam kulit,3
2,erupsi kulit nodal,4
3,bersin terus menerus,4
4,gemetaran,5
5,panas dingin,3
6,nyeri sendi,3
7,sakit perut,5
8,keasaman,3
9,bisul di lidah,4
10,pemborosan otot,3
11,muntah,5
12,buang air kecil yang terbakar,6
13,buang air kecil bercak,6
14,kelelahan,4
15,penambahan berat badan,3
16,kecemasan,4
17,tangan dan kaki dingin,5
18,perubahan suasana hati,3
19,penurunan berat badan,3
20,kegelisahan,5
21,kelesuan,2
22,bercak di tenggorokan,6
23,kadar gula tidak teratur,5
24,batuk,4
25,demam tinggi,7
26,mata cekung,3
27,sesak napas,4
28,berkeringat,3
29,dehidrasi,4
30,gangguan pencernaan,5
31,sakit kepala,3
32,kulit kekuningan,3
33,urin gelap,4
34,mual,5
35,kehilangan selera makan,4
36,nyeri di belakang mata,4
37,sakit punggung,3
38,sembelit,4
39,sakit perut,4
40,diare,6
41,demam ringan,5
42,urin kuning,4
43,menguningnya mata,4
44,gagal hati akut,6
45,kelebihan cairan,6
46,pembengkakan perut,7
47,pembengkakan kelenjar getah bening,6
48,rasa tidak enak,6
49,penglihatan kabur dan terdistorsi,5
50,dahak,5
51,iritasi tenggorokan,4
52,kemerahan pada mata,5
53,tekanan sinus,4
54,pilek,5
55,penyumbatan,5
56,nyeri dada,7
57,kelemahan pada tungkai,7
58,detak jantung cepat,5
59,nyeri saat buang air besar,5
60,nyeri di daerah anus,6
61,tinja berdarah,5
62,iritasi pada anus,6
63,sakit leher,5
64,pusing,4
65,kram,4
66,memar,4
67,kegemukan,4
68,kaki bengkak,5
69,pembuluh darah membengkak,5
70,wajah dan mata sembab,5
71,tiroid yang membesar,6
72,kuku rapuh,5
73,ekstremitas bengkak,5
74,rasa lapar yang berlebihan,4
75,kontak perkawinan ekstra,5
76,bibir kering dan kesemutan,4
77,ucapan cadel,4
78,sakit lutut,3
79,nyeri sendi panggul,2
80,kelemahan otot,2
81,leher kaku,4
82,sendi bengkak,5
83,kekakuan gerakan,5
84,gerakan berputar,6
85,kehilangan keseimbangan,4
86,kegoyangan,4
87,kelemahan satu sisi tubuh,4
88,kehilangan bau,3
89,ketidaknyamanan kandung kemih,4
90,bau urin yang busuk,5
91,rasa urin terus menerus,6
92,lewatnya gas,5
93,gatal dalam,4
94,tampilan beracun (typhos),5
95,depresi,3
96,sifat lekas marah,2
97,nyeri otot,2
98,sensorium yang diubah,2
99,bintik-bintik merah di sekujur tubuh,3
100,sakit perut,4
101,menstruasi yang tidak normal,6
102,patch diskromik,6
103,berair dari mata,4
104,nafsu makan meningkat,5
105,poliuria,4
106,sejarah keluarga,5
107,dahak mukoid,4
108,dahak berkarat,4
109,kurang konsenterasi,3
110,gangguan penglihatan,3
111,menerima transfusi darah,5
112,menerima suntikan yang tidak steril,2
113,koma,7
114,pendarahan perut,6
115,distensi abdomen,4
116,riwayat konsumsi alkohol,5
117,kelebihan cairan,4
118,darah dalam dahak,5
119,pembuluh darah menonjol di betis,6
120,palpitasi,4
121,berjalan yang menyakitkan,2
122,jerawat berisi nanah,2
123,komedo,2
124,berlarian,2
125,pengelupasan kulit,3
126,perak seperti debu,2
127,penyok kecil di kuku,2
128,kuku inflamasi,2
129,lepuh,4
130,luka merah di sekitar hidung,2
131,kerak kuning keluar,3
132,prognosa,5
